feature,home_mean,away_mean,difference,pct_difference
road_OTLosses,0.0,0.030547305897327112,-0.030547305897327112,-100.0
punting_fairCatches,0.9915293455123901,1.0250318050384521,-0.03350245952606201,-3.2684311270713806
scoring_fieldGoals,1.50669952256276,1.4444915853486069,0.062207937214153075,4.306562796566247
punting_touchbacks,0.3258894085884094,0.3452128469944,-0.0193234384059906,-5.597543343901634
punting_longPunt,48.87540428153396,49.41281289775138,-0.5374086162174194,-1.0875896041973259
scoring_kickExtraPointsMade,2.2077622054520254,1.950926318766794,0.2568358866852314,13.164817359559775
returning_longKickReturn,25.605729246881257,25.64559468250601,-0.03986543562475475,-0.1554474993397159
passing_longPassing,36.09240720776221,36.00707113562438,0.08533607213782801,0.23699809355890353
road_wins,0.0,0.41889407438834675,-0.41889407438834675,-100.0
home_OTLosses,0.026336054212228555,0.001131381699901004,0.025204672512327553,2227.7779916833515
returning_longPuntReturn,12.439550284922223,11.37222457926743,1.0673257056547936,9.385373092267477
passing_completions,19.394733428955078,19.414226531982422,-0.01949310302734375,-0.10040628258138895
home_losses,0.43323579239180654,0.021071984160656202,0.41216380823115034,1955.9800590620564
road_losses,0.0,0.5382548437279027,-0.5382548437279027,-100.0
scoring_twoPointPassConvs,0.0491298321269059,0.04737660868335455,0.0017532234435513536,3.7006098415974984
kicking_fieldGoalAttempts50,0.23748652394886802,0.24763116956583228,-0.010144645616964265,-4.0966755658226335
punting_puntYards,183.22007751464844,192.91004943847656,-9.689971923828125,-5.0230517983436584
total_losses,0.43323579239180654,0.5593268278885589,-0.12609103549675238,-22.543355549874487
returning_kickReturnTouchdowns,0.022639766335487366,0.020082024857401848,0.002557741478085518,12.736472487449646
defensive_safeties,0.034960728138685226,0.022627634927630424,0.012333093211054802,54.50456142425537
