feature,importance
away_road_losses,1.0
home_defensive_longInterception,0.0
home_scoring_passingTouchdowns,0.0
away_defensive_sacks,0.0
home_receiving_netYardsPerGame,0.0
home_kicking_kickoffReturnYards,0.0
away_defensive_interceptionYards,0.0
away_rushing_stuffs,0.0
home_rushing_totalYards,0.0
home_defensive_interceptionYards,0.0
home_receiving_totalYards,0.0
home_defensive_sackYards,0.0
away_miscellaneous_thirdDownConvPct,0.0
home_total_differential,0.0
home_rushing_totalTouchdowns,0.0
home_defensive_sacks,0.0
away_rushing_netTotalYards,0.0
home_passing_yardsPerCompletion,0.0
home_downs_thirdDownConversionPct,0.0
away_passing_sacks,0.0
away_downs_thirdDownConversions,0.0
home_rushing_rushingYardsPerGame,0.0
away_rushing_rushingYards,0.0
home_defensive_interceptions,0.0
home_rushing_rushingTouchdowns,0.0
home_receiving_totalYardsFromScrimmage,0.0
away_returning_kickReturnYards,0.0
away_defensiveInterceptions_interceptionYards,0.0
away_miscellaneous_firstDowns,0.0
away_kicking_extraPointPct,0.0
home_scoring_rushingTouchdowns,0.0
home_passing_sacks,0.0
home_passing_sackYardsLost,0.0
away_diff_total_differential_roll3,0.0
home_diff_point_diff_trend,0.0
home_scoring_receivingTouchdowns,0.0
away_downs_firstDowns,0.0
away_diff_total_pointsFor_roll5,0.0
home_diff_total_pointsFor_roll5,0.0
away_receiving_totalTouchdowns,0.0
away_miscellaneous_firstDownsPerGame,0.0
away_kicking_fieldGoalsMade,0.0
away_downs_thirdDownConversionPct,0.0
away_scoring_fieldGoals,0.0
home_diff_total_differential_roll5,0.0
away_scoring_defensivePoints,0.0
away_diff_point_diff_trend,0.0
away_kicking_kickoffReturnYards,0.0
away_passing_sackYardsLost,0.0
away_miscellaneous_turnOverDifferential,0.0
home_kicking_kickoffYards,0.0
home_total_pointsFor,0.0
away_total_leagueWinPercent,0.0
home_diff_total_winPercent,0.0
away_diff_total_pointsFor,0.0
away_diff_total_differential,0.0
away_passing_totalPoints,0.0
away_total_avgPointsFor,0.0
away_total_points,0.0
home_home_pointsAgainst,0.0
away_total_pointsFor,0.0
away_receiving_totalPoints,0.0
home_opp_total_pointsFor,0.0
home_passing_totalPoints,0.0
home_total_pointsAgainst,0.0
home_defensive_pointsAllowed,0.0
away_rushing_totalPointsPerGame,0.0
away_defensive_pointsAllowed,0.0
home_rushing_totalPoints,0.0
home_total_points,0.0
away_total_avgPointsAgainst,0.0
home_total_avgPointsFor,0.0
away_away_pointsAgainst,0.0
home_passing_QBRating,0.0
away_total_wins,0.0
home_total_avgPointsAgainst,0.0
home_passing_totalPointsPerGame,0.0
away_passing_totalYardsFromScrimmage,0.0
away_kicking_kickoffYards,0.0
home_opp_total_pointsAgainst,0.0
away_returning_kickReturns,0.0
home_kicking_kickoffReturns,0.0
home_kicking_kickoffs,0.0
away_kicking_kickoffs,0.0
home_miscellaneous_turnOverDifferential,0.0
away_kicking_kickoffReturns,0.0
home_rushing_totalPointsPerGame,0.0
home_general_turnoverDifferential,0.0
away_rushing_rushingAttempts,0.0
away_passing_QBRating,0.0
away_passing_quarterbackRating,0.0
away_scoring_totalPoints,0.0
away_scored_20plus,0.0
home_rushing_rushingAttempts,0.0
home_scoring_totalPoints,0.0
home_kicking_extraPointAttempts,0.0
away_scoring_totalPointsPerGame,0.0
home_returning_kickReturns,0.0
home_receiving_totalPointsPerGame,0.0
home_rushing_stuffs,0.0
home_miscellaneous_thirdDownConvPct,0.0
away_scoring_receivingTouchdowns,0.0
away_diff_total_winPercent,0.0
home_opp_total_winPercent,0.0
away_opp_total_differential,0.0
away_diff_total_pointsAgainst,0.0
home_diff_total_differential,0.0
away_receiving_totalPointsPerGame,0.0
home_receiving_totalPoints,0.0
away_rushing_totalPoints,0.0
away_opp_total_pointsFor,0.0
away_away_pointsFor,0.0
away_diff_total_differential_roll5,0.0
home_home_pointsFor,0.0
home_passing_netPassingAttempts,0.0
home_passing_netYardsPerGame,0.0
away_opp_total_pointsAgainst,0.0
away_passing_totalPointsPerGame,0.0
away_defensive_passesDefended,0.0
home_defensive_yardsAllowed,0.0
away_downs_firstDownPercentage,0.0
away_opp_total_winPercent,0.0
home_opp_total_differential,0.0
home_rushing_netYardsPerGame,0.0
home_diff_total_pointsAgainst,0.0
away_road_wins,0.0
home_passing_netTotalYards,0.0
home_home_losses,0.0
home_total_pointDifferential,0.0
away_away_losses,0.0
home_total_winPercent,0.0
away_total_winPercentage,0.0
away_total_pointDifferential,0.0
home_home_winPercent,0.0
away_away_winPercentage,0.0
away_total_losses,0.0
away_total_differential,0.0
home_total_wins,0.0
home_home_wins,0.0
home_total_losses,0.0
home_diff_total_pointsFor,0.0
home_home_winPercentage,0.0
home_total_leagueWinPercent,0.0
home_total_winPercentage,0.0
away_away_wins,0.0
away_road_winPercent,0.0
away_win,0.0
away_away_winPercent,0.0
away_total_winPercent,0.0
away_receiving_totalYards,0.0
home_rushing_yardsFromScrimmagePerGame,0.0
home_passing_totalYards,0.0
away_receiving_netTotalYards,0.0
away_defensive_passesBattedDown,0.0
away_rushing_totalYards,0.0
away_scoring_totalTouchdowns,0.0
home_scoring_totalTouchdowns,0.0
away_passing_interceptionPct,0.0
away_downs_firstDownRushing,0.0
away_miscellaneous_firstDownsRushing,0.0
away_scoring_rushingTouchdowns,0.0
home_rushing_rushingYards,0.0
home_defensive_passesDefended,0.0
away_passing_yardsFromScrimmagePerGame,0.0
away_kicking_fieldGoalAttempts,0.0
away_passing_interceptions,0.0
home_receiving_netTotalYards,0.0
home_passing_interceptions,0.0
away_rushing_totalYardsFromScrimmage,0.0
home_miscellaneous_firstDownsRushing,0.0
home_downs_firstDownRushing,0.0
away_passing_yardsPerCompletion,0.0
away_passing_totalTouchdowns,0.0
away_rushing_totalTouchdowns,0.0
home_passing_interceptionPct,0.0
home_passing_totalYardsFromScrimmage,0.0
away_rushing_brokenTackles,0.0
away_receiving_yardsFromScrimmagePerGame,0.0
away_passing_netTotalYards,0.0
away_total_pointsAgainst,0.0
away_general_turnoverDifferential,0.0
home_rushing_totalYardsFromScrimmage,0.0
away_defensive_avgInterceptionYards,0.0
away_passing_totalYards,0.0
away_rushing_rushingTouchdowns,0.0
home_defensive_avgInterceptionYards,0.0
home_defensive_yardsAllowedPerGame,0.0
away_receiving_netYardsPerGame,0.0
home_rushing_netTotalYards,0.0
away_rushing_rushingFirstDowns,0.0
home_defensive_passesBattedDown,0.0
away_rushing_netYardsPerGame,0.0
away_passing_passingAttempts,0.0
home_receiving_yardsFromScrimmagePerGame,0.0
away_defensive_sackYards,0.0
home_passing_yardsFromScrimmagePerGame,0.0
home_rushing_rushingFirstDowns,0.0
away_rushing_yardsFromScrimmagePerGame,0.0
home_defensiveInterceptions_interceptionYards,0.0
home_passing_quarterbackRating,0.0
