Logistic_proba,XGBoost_proba,CatBoost_proba,RandomForest_proba,home_team,away_team,spread_line,home_implied_prob,home_win,vegas_pick_home,Logistic_pick_home,Logistic_agrees_vegas,XGBoost_pick_home,XGBoost_agrees_vegas,CatBoost_pick_home,CatBoost_agrees_vegas,RandomForest_pick_home,RandomForest_agrees_vegas
0.36382692582779325,0.19463357,0.4493948658790205,0.3871613343699839,ARI,ATL,-3.0,0.43478260869565216,0,False,False,True,False,True,False,True,False,True
0.2104897940447423,0.021284968,0.23345788628970437,0.20624254178947257,CLE,BUF,-10.5,0.17543859649122806,0,False,False,True,False,True,False,True,False,True
0.3537109791096845,0.04689104,0.33230906731459026,0.38100791585553606,MIA,CIN,-4.5,0.3508771929824561,0,False,False,True,False,True,False,True,False,True
0.6041977434768064,0.53531617,0.5327523989437326,0.5150996717994052,CHI,GB,1.5,0.5412844036697247,1,True,True,True,True,True,True,True,True,True
0.5898426575640745,0.4563601,0.6434105279666975,0.6818052162261836,DEN,JAX,3.5,0.6491228070175439,0,True,True,True,False,False,True,True,True,True
0.4400682158699781,0.60298395,0.49327027221565606,0.4182305233580088,TEN,KC,-3.0,0.43478260869565216,0,False,False,True,True,False,False,True,False,True
0.5477815164003359,0.534104,0.4931225731606829,0.5353331575089536,DAL,LAC,1.5,0.5495495495495496,0,True,True,True,True,True,False,False,True,True
0.606862692489872,0.66188973,0.6206987699757203,0.5013314106474028,SEA,LA,1.5,0.5495495495495496,1,True,True,True,True,True,True,True,True,True
0.8901798485976211,0.9885824,0.8483515441435399,0.849302220857072,HOU,LV,14.5,0.9354838709677419,0,True,True,True,True,True,True,True,True,True
0.46649726968480176,0.109974906,0.41254354254036674,0.3809790399421003,NYG,MIN,-2.5,0.44642857142857145,0,False,False,True,False,True,False,True,False,True
0.5581648617108974,0.58444107,0.5481905441824061,0.574296613357632,BAL,NE,3.0,0.6428571428571429,0,True,True,True,True,True,True,True,True,True
0.7289964301015265,0.55015033,0.6952733501379323,0.6697490897366507,NO,NYJ,6.5,0.7402597402597403,0,True,True,True,True,True,True,True,True,True
0.255600481451262,0.026454277,0.17730264307433788,0.18545763489450443,WAS,PHI,-7.0,0.25,0,False,False,True,False,True,False,True,False,True
0.6779980133838931,0.79858613,0.6850708379104234,0.687233421775798,DET,PIT,7.5,0.7802197802197802,0,True,True,True,True,True,True,True,True,True
0.30770235922507866,0.06430011,0.24772620331928966,0.2044426012731849,IND,SF,-5.5,0.32786885245901637,0,False,False,True,False,True,False,True,False,True
0.35506953846430406,0.2337121,0.41937870307366715,0.3845159771387323,CAR,TB,-3.0,0.43478260869565216,0,False,False,True,False,True,False,True,False,True
