away_team,home_team,away_score,home_score,actual_margin,xgb_home_prob,home_implied_prob,log_home_prob,xgb_vegas_deviation,actual_home_win,xgb_correct,vegas_correct,log_correct
LA,SEA,37.0,38.0,1.0,0.66188973,0.5495495495495496,0.606862692489872,0.11234018045045036,1,1,1,1
PHI,WAS,29.0,18.0,-11.0,0.026454277,0.25,0.255600481451262,-0.223545723,0,1,1,1
GB,CHI,16.0,22.0,6.0,0.53531617,0.5412844036697247,0.6041977434768064,-0.005968233669724765,1,1,1,1
TB,CAR,20.0,23.0,3.0,0.2337121,0.4347826086956521,0.355069538464304,-0.2010705086956521,1,0,0,0
BUF,CLE,23.0,20.0,-3.0,0.021284968,0.175438596491228,0.2104897940447423,-0.154153628491228,0,1,1,1
LAC,DAL,34.0,17.0,-17.0,0.534104,0.5495495495495496,0.5477815164003359,-0.015445549549549575,0,0,0,0
CIN,MIA,45.0,21.0,-24.0,0.04689104,0.3508771929824561,0.3537109791096845,-0.3039861529824561,0,1,1,1
NYJ,NO,6.0,29.0,23.0,0.55015033,0.7402597402597403,0.7289964301015265,-0.19010941025974026,1,1,1,1
MIN,NYG,16.0,13.0,-3.0,0.109974906,0.4464285714285714,0.4664972696848017,-0.3364536654285714,0,1,1,1
KC,TEN,9.0,26.0,17.0,0.60298395,0.4347826086956521,0.4400682158699781,0.16820134130434794,1,1,0,0
ATL,ARI,26.0,19.0,-7.0,0.19463357,0.4347826086956521,0.3638269258277932,-0.2401490386956521,0,1,1,1
JAX,DEN,34.0,20.0,-14.0,0.4563601,0.6491228070175439,0.5898426575640745,-0.1927627070175439,0,1,0,0
PIT,DET,29.0,24.0,-5.0,0.79858613,0.7802197802197802,0.6779980133838931,0.01836634978021978,0,0,0,0
LV,HOU,21.0,23.0,2.0,0.9885824,0.935483870967742,0.8901798485976211,0.05309852903225798,1,1,1,1
NE,BAL,28.0,24.0,-4.0,0.58444107,0.6428571428571429,0.5581648617108974,-0.0584160728571429,0,0,0,0
