home_team,away_team,spread_line,home_implied_prob,xgb_proba,log_proba,vegas_pick_home,xgb_pick_home,log_pick_home,xgb_disagrees
ARI,ATL,-2.5,0.44642857142857145,0.19463357,0.38049076724923575,False,False,False,False
CLE,BUF,-10.5,0.19047619047619047,0.018666297,0.2067721215657366,False,False,False,False
MIA,CIN,-3.5,0.37037037037037035,0.14668907,0.38723060106252727,False,False,False,False
CHI,GB,1.5,0.5412844036697247,0.53531617,0.6041977434768064,True,True,True,False
DEN,JAX,3.5,0.6363636363636364,0.4563601,0.5909503120870806,True,False,True,True
TEN,KC,-3.5,0.3937007874015748,0.44549233,0.42508350514543214,False,False,False,False
DAL,LAC,1.5,0.5495495495495496,0.534104,0.5477815164003359,True,True,True,False
SEA,LA,1.5,0.5495495495495496,0.66188973,0.606862692489872,True,True,True,False
HOU,LV,14.5,0.9411764705882353,0.98530453,0.8865516840902924,True,True,True,False
NYG,MIN,-2.5,0.44642857142857145,0.109974906,0.46649726968480176,False,False,False,False
BAL,NE,3.0,0.6428571428571429,0.58444107,0.5581648617108974,True,True,True,False
NO,NYJ,6.5,0.7487437185929648,0.846624,0.7318215920073615,True,True,True,False
WAS,PHI,-7.0,0.25,0.026454277,0.255600481451262,False,False,False,False
DET,PIT,7.5,0.803921568627451,0.93331164,0.6761744785657338,True,True,True,False
IND,SF,-5.5,0.32786885245901637,0.06430011,0.30770235922507866,False,False,False,False
CAR,TB,-3.0,0.43478260869565216,0.2337121,0.35904732050535626,False,False,False,False
